Record Date,Bills,Notes,Bonds,All
2019-01-31,2.2990648784,9.355849737500002,2.1905157075,13.8454303234
2018-12-31,2.3399925847,9.297047496500001,2.1745211348,13.811561216
2018-11-30,2.3891000968,9.2404336325,2.1585211729,13.7880549022
2018-10-31,2.2580014007,9.2182101813,2.1428222643,13.619033846299999
2018-09-30,2.2399362821,9.1543796796,2.1278225328,13.5221384945
2018-08-31,2.3409230734,9.120380495200001,2.1128225747,13.574126143300001
2018-07-31,2.2058960077,9.0949409371,2.0924078692,13.393244814
2018-06-30,2.1579807514,9.0321963167,2.0783545502,13.2685316183
2018-05-31,2.1839821355,9.002197342399999,2.0643546624,13.250534140299997
2018-04-30,2.1689869803999997,8.9742194869,2.0499739426,13.1931804099
2018-03-31,2.2889689573,8.9245553232,2.0369517793000003,13.2504760598
2018-02-28,2.0779663355,8.8995565108,2.0239518172,13.0014746635
2018-01-31,1.9669393541000002,8.88917520159999,2.004929724,12.861044279699989
2017-12-31,1.9559325583,8.849743682,1.9925240613,12.7982003016
2017-11-30,1.9709099183,8.8307446209,1.980525011,12.7821795502
2017-10-31,1.8559287075,8.8301326074,1.9637039483,12.649765263199999
2017-09-30,1.8019362261999998,8.805498704799989,1.9517048064,12.559139737399988
2017-08-31,1.7479224150000001,8.788504888,1.9397050102,12.476132313199999
2017-07-31,1.7579565041,8.7823100219,1.9311602356,12.4714267616
2017-06-30,1.7179580642999999,8.758317013800001,1.9188868992,12.3951619773
2017-05-31,1.747958689,8.7358690551,1.9068874027,12.390715146799998
2017-04-30,1.7419908498,8.716710576199999,1.9024960869,12.361197512899999
2017-03-31,1.7569603962,8.7023736253,1.8903975338,12.3497315553
2017-02-28,1.7529629443,8.68463542449999,1.8783978816,12.31599625039999
2017-01-31,1.761978809,8.6784802028,1.8616661989,12.3021252107
2016-12-31,1.81796328,8.6590175005,1.849001396,12.325982176499998
2016-11-30,1.8729544948,8.64504267889999,1.8370015194,12.35499869309999
2016-10-31,1.7529487931999999,8.6412280458,1.8375053466,12.231682185599999
2016-09-30,1.6469640462,8.6309924818,1.8255070457,12.1034635737
2016-08-31,1.6329488173,8.619230917500001,1.8135072034,12.0656869382
2016-07-31,1.5499323031999999,8.621472276299992,1.7969713829,11.968375962399989
2016-06-30,1.5079470490000002,8.6066073399,1.7841918013,11.8987461902
2016-05-31,1.5239569109,8.587680429199999,1.77219676565,11.883834105750001
2016-04-30,1.5269559099,8.555483260699988,1.77261795825,11.855057128849989
2016-03-31,1.6179595922999999,8.5431996816,1.76053960255,11.92169887645
2016-02-29,1.5519471178,8.515939109,1.74854152855,11.816427755349997
2016-01-31,1.4779337184999999,8.4698293416,1.73779695385,11.685560013949999
2015-12-31,1.5139572205999998,8.4568309907,1.72480216825,11.695590379550001
2015-11-30,1.505974838,8.422584715800001,1.71180250145,11.64036205525
2015-10-31,1.2729979737,8.3856572974,1.70130488065,11.35996015175
2015-09-30,1.3579970004,8.372656876,1.68830520595,11.418959082349998
2015-08-31,1.4239750643,8.3387586069,1.6753060414,11.4380397126
2015-07-31,1.4399887150000001,8.3351452591,1.6630073256000002,11.438141299700002
