"As Of Date","Time Series","Value (millions)"
"2017-05-03","PDGSIDBEXT","200842"
"2017-05-03","PDGSWOEXT","320332"
"2017-05-10","PDGSIDBEXT","175743"
"2017-05-10","PDGSWOEXT","277810"
"2017-05-17","PDGSIDBEXT","201850"
"2017-05-17","PDGSWOEXT","311054"
"2017-05-24","PDGSIDBEXT","204552"
"2017-05-24","PDGSWOEXT","323498"
"2017-05-31","PDGSIDBEXT","198299"
"2017-05-31","PDGSWOEXT","332095"
"2017-06-07","PDGSIDBEXT","181578"
"2017-06-07","PDGSWOEXT","262629"
"2017-06-14","PDGSIDBEXT","197846"
"2017-06-14","PDGSWOEXT","306918"
"2017-06-21","PDGSIDBEXT","177815"
"2017-06-21","PDGSWOEXT","286168"
"2017-06-28","PDGSIDBEXT","206849"
"2017-06-28","PDGSWOEXT","330668"
"2017-07-05","PDGSIDBEXT","188272"
"2017-07-05","PDGSWOEXT","318359"
"2017-07-12","PDGSIDBEXT","158625"
"2017-07-12","PDGSWOEXT","259938"
"2017-07-19","PDGSIDBEXT","150444"
"2017-07-19","PDGSWOEXT","248460"
"2017-07-26","PDGSIDBEXT","160782"
"2017-07-26","PDGSWOEXT","253275"
"2017-08-02","PDGSIDBEXT","179240"
"2017-08-02","PDGSWOEXT","321442"
"2017-08-09","PDGSIDBEXT","153062"
"2017-08-09","PDGSWOEXT","253397"
"2017-08-16","PDGSIDBEXT","165710"
"2017-08-16","PDGSWOEXT","282329"
"2017-08-23","PDGSIDBEXT","136785"
"2017-08-23","PDGSWOEXT","230784"
"2017-08-30","PDGSIDBEXT","174985"
"2017-08-30","PDGSWOEXT","318841"
"2017-09-06","PDGSIDBEXT","199807"
"2017-09-06","PDGSWOEXT","327354"
"2017-09-13","PDGSIDBEXT","189702"
"2017-09-13","PDGSWOEXT","306206"
"2017-09-20","PDGSIDBEXT","167901"
"2017-09-20","PDGSWOEXT","268213"
"2017-09-27","PDGSIDBEXT","186081"
"2017-09-27","PDGSWOEXT","307152"
"2017-10-04","PDGSIDBEXT","198469"
"2017-10-04","PDGSWOEXT","345486"
"2017-10-11","PDGSIDBEXT","163778"
"2017-10-11","PDGSWOEXT","270780"
"2017-10-18","PDGSIDBEXT","165169"
"2017-10-18","PDGSWOEXT","257094"
"2017-10-25","PDGSIDBEXT","188331"
"2017-10-25","PDGSWOEXT","306627"
"2017-11-01","PDGSIDBEXT","203755"
"2017-11-01","PDGSWOEXT","355955"
"2017-11-08","PDGSIDBEXT","162863"
"2017-11-08","PDGSWOEXT","288622"
"2017-11-15","PDGSIDBEXT","182938"
"2017-11-15","PDGSWOEXT","318101"
"2017-11-22","PDGSIDBEXT","153549"
"2017-11-22","PDGSWOEXT","272551"
"2017-11-29","PDGSIDBEXT","187302"
"2017-11-29","PDGSWOEXT","338527"
"2017-12-06","PDGSIDBEXT","196586"
"2017-12-06","PDGSWOEXT","340985"
"2017-12-13","PDGSIDBEXT","181591"
"2017-12-13","PDGSWOEXT","313276"
"2017-12-20","PDGSIDBEXT","166743"
"2017-12-20","PDGSWOEXT","292400"
"2017-12-27","PDGSIDBEXT","131269"
"2017-12-27","PDGSWOEXT","239276"
"2018-01-03","PDGSIDBEXT","166924"
"2018-01-03","PDGSWOEXT","324842"
"2018-01-10","PDGSIDBEXT","176642"
"2018-01-10","PDGSWOEXT","316443"
"2018-01-17","PDGSIDBEXT","191147"
"2018-01-17","PDGSWOEXT","329663"
"2018-01-24","PDGSIDBEXT","203086"
"2018-01-24","PDGSWOEXT","347155"
"2018-01-31","PDGSIDBEXT","221639"
"2018-01-31","PDGSWOEXT","398438"
"2018-02-07","PDGSIDBEXT","275638"
"2018-02-07","PDGSWOEXT","449603"
"2018-02-14","PDGSIDBEXT","258005"
"2018-02-14","PDGSWOEXT","416676"
"2018-02-21","PDGSIDBEXT","200399"
"2018-02-21","PDGSWOEXT","372330"
"2018-02-28","PDGSIDBEXT","210060"
"2018-02-28","PDGSWOEXT","402101"
"2018-03-07","PDGSIDBEXT","196993"
"2018-03-07","PDGSWOEXT","335242"
"2018-03-14","PDGSIDBEXT","175063"
"2018-03-14","PDGSWOEXT","329193"
"2018-03-21","PDGSIDBEXT","163783"
"2018-03-21","PDGSWOEXT","287367"
"2018-03-28","PDGSIDBEXT","207561"
"2018-03-28","PDGSWOEXT","383511"
"2018-04-04","PDGSIDBEXT","167872"
"2018-04-04","PDGSWOEXT","324427"
"2018-04-11","PDGSIDBEXT","162977"
"2018-04-11","PDGSWOEXT","277123"
"2018-04-18","PDGSIDBEXT","150150"
"2018-04-18","PDGSWOEXT","282564"
"2018-04-25","PDGSIDBEXT","203003"
"2018-04-25","PDGSWOEXT","353311"
"2018-05-02","PDGSIDBEXT","182164"
"2018-05-02","PDGSWOEXT","355628"
"2018-05-09","PDGSIDBEXT","146587"
"2018-05-09","PDGSWOEXT","283376"
"2018-05-16","PDGSIDBEXT","173419"
"2018-05-16","PDGSWOEXT","350223"
"2018-05-23","PDGSIDBEXT","181218"
"2018-05-23","PDGSWOEXT","343533"
"2018-05-30","PDGSIDBEXT","244443"
"2018-05-30","PDGSWOEXT","438109"
"2018-06-06","PDGSIDBEXT","195354"
"2018-06-06","PDGSWOEXT","358851"
"2018-06-13","PDGSIDBEXT","168097"
"2018-06-13","PDGSWOEXT","318688"
"2018-06-20","PDGSIDBEXT","155323"
"2018-06-20","PDGSWOEXT","298760"
"2018-06-27","PDGSIDBEXT","160597"
"2018-06-27","PDGSWOEXT","299696"
"2018-07-04","PDGSIDBEXT","170795"
"2018-07-04","PDGSWOEXT","357615"
"2018-07-11","PDGSIDBEXT","142390"
"2018-07-11","PDGSWOEXT","256412"
"2018-07-18","PDGSIDBEXT","135238"
"2018-07-18","PDGSWOEXT","267076"
"2018-07-25","PDGSIDBEXT","161761"
