"As Of Date","Time Series","Value (millions)"
"2017-04-05","PDFTD-USTET","102147"
"2017-04-05","PDFTR-USTET","101268"
"2017-04-12","PDFTD-USTET","109643"
"2017-04-12","PDFTR-USTET","113849"
"2017-04-19","PDFTD-USTET","90591"
"2017-04-19","PDFTR-USTET","92205"
"2017-04-26","PDFTD-USTET","82926"
"2017-04-26","PDFTR-USTET","80977"
"2017-05-03","PDFTD-USTET","112867"
"2017-05-03","PDFTR-USTET","121648"
"2017-05-10","PDFTD-USTET","107171"
"2017-05-10","PDFTR-USTET","112199"
"2017-05-17","PDFTD-USTET","96082"
"2017-05-17","PDFTR-USTET","99259"
"2017-05-24","PDFTD-USTET","92954"
"2017-05-24","PDFTR-USTET","95317"
"2017-05-31","PDFTD-USTET","148943"
"2017-05-31","PDFTR-USTET","165281"
"2017-06-07","PDFTD-USTET","105373"
"2017-06-07","PDFTR-USTET","111411"
"2017-06-14","PDFTD-USTET","101082"
"2017-06-14","PDFTR-USTET","103660"
"2017-06-21","PDFTD-USTET","110295"
"2017-06-21","PDFTR-USTET","111248"
"2017-06-28","PDFTD-USTET","131140"
"2017-06-28","PDFTR-USTET","136895"
"2017-07-05","PDFTD-USTET","133672"
"2017-07-05","PDFTR-USTET","143679"
"2017-07-12","PDFTD-USTET","118792"
"2017-07-12","PDFTR-USTET","126077"
"2017-07-19","PDFTD-USTET","123053"
"2017-07-19","PDFTR-USTET","128384"
"2017-07-26","PDFTD-USTET","126679"
"2017-07-26","PDFTR-USTET","123745"
"2017-08-02","PDFTD-USTET","133858"
"2017-08-02","PDFTR-USTET","135460"
"2017-08-09","PDFTD-USTET","104903"
"2017-08-09","PDFTR-USTET","113933"
"2017-08-16","PDFTD-USTET","116548"
"2017-08-16","PDFTR-USTET","123689"
"2017-08-23","PDFTD-USTET","107498"
"2017-08-23","PDFTR-USTET","112552"
"2017-08-30","PDFTD-USTET","118779"
"2017-08-30","PDFTR-USTET","124169"
"2017-09-06","PDFTD-USTET","215713"
"2017-09-06","PDFTR-USTET","219737"
"2017-09-13","PDFTD-USTET","156393"
"2017-09-13","PDFTR-USTET","168650"
"2017-09-20","PDFTD-USTET","176242"
"2017-09-20","PDFTR-USTET","183149"
"2017-09-27","PDFTD-USTET","130609"
"2017-09-27","PDFTR-USTET","138106"
"2017-10-04","PDFTD-USTET","108309"
"2017-10-04","PDFTR-USTET","107548"
"2017-10-11","PDFTD-USTET","128942"
"2017-10-11","PDFTR-USTET","137597"
"2017-10-18","PDFTD-USTET","123523"
"2017-10-18","PDFTR-USTET","128852"
"2017-10-25","PDFTD-USTET","145813"
"2017-10-25","PDFTR-USTET","149707"
"2017-11-01","PDFTD-USTET","119896"
"2017-11-01","PDFTR-USTET","132954"
"2017-11-08","PDFTD-USTET","103456"
"2017-11-08","PDFTR-USTET","104471"
"2017-11-15","PDFTD-USTET","121873"
"2017-11-15","PDFTR-USTET","125705"
"2017-11-22","PDFTD-USTET","198962"
"2017-11-22","PDFTR-USTET","203813"
"2017-11-29","PDFTD-USTET","296260"
"2017-11-29","PDFTR-USTET","303132"
"2017-12-06","PDFTD-USTET","264026"
"2017-12-06","PDFTR-USTET","259435"
"2017-12-13","PDFTD-USTET","423073"
"2017-12-13","PDFTR-USTET","409150"
"2017-12-20","PDFTD-USTET","184223"
"2017-12-20","PDFTR-USTET","189901"
"2017-12-27","PDFTD-USTET","107603"
"2017-12-27","PDFTR-USTET","113595"
"2018-01-03","PDFTD-USTET","109018"
"2018-01-03","PDFTR-USTET","116250"
"2018-01-10","PDFTD-USTET","143766"
"2018-01-10","PDFTR-USTET","147751"
"2018-01-17","PDFTD-USTET","246771"
"2018-01-17","PDFTR-USTET","254484"
"2018-01-24","PDFTD-USTET","101542"
"2018-01-24","PDFTR-USTET","97036"
"2018-01-31","PDFTD-USTET","115233"
"2018-01-31","PDFTR-USTET","122605"
"2018-02-07","PDFTD-USTET","122750"
"2018-02-07","PDFTR-USTET","130267"
"2018-02-14","PDFTD-USTET","243557"
"2018-02-14","PDFTR-USTET","251409"
"2018-02-21","PDFTD-USTET","144217"
"2018-02-21","PDFTR-USTET","148642"
"2018-02-28","PDFTD-USTET","104234"
"2018-02-28","PDFTR-USTET","109868"
"2018-03-07","PDFTD-USTET","113431"
"2018-03-07","PDFTR-USTET","118117"
"2018-03-14","PDFTD-USTET","153613"
"2018-03-14","PDFTR-USTET","163066"
"2018-03-21","PDFTD-USTET","105253"
"2018-03-21","PDFTR-USTET","109944"
"2018-03-28","PDFTD-USTET","113455"
"2018-03-28","PDFTR-USTET","119716"
"2018-04-04","PDFTD-USTET","94189"
"2018-04-04","PDFTR-USTET","97376"
"2018-04-11","PDFTD-USTET","83040"
"2018-04-11","PDFTR-USTET","84768"
"2018-04-18","PDFTD-USTET","69518"
"2018-04-18","PDFTR-USTET","73758"
"2018-04-25","PDFTD-USTET","66199"
"2018-04-25","PDFTR-USTET","75253"
"2018-05-02","PDFTD-USTET","82665"
"2018-05-02","PDFTR-USTET","94764"
"2018-05-09","PDFTD-USTET","78301"
"2018-05-09","PDFTR-USTET","81601"
"2018-05-16","PDFTD-USTET","83069"
"2018-05-16","PDFTR-USTET","87129"
"2018-05-23","PDFTD-USTET","70880"
"2018-05-23","PDFTR-USTET","69282"
"2018-05-30","PDFTD-USTET","81543"
"2018-05-30","PDFTR-USTET","85871"
"2018-06-06","PDFTD-USTET","83646"
"2018-06-06","PDFTR-USTET","89173"
"2018-06-13","PDFTD-USTET","70507"
"2018-06-13","PDFTR-USTET","80357"
"2018-06-20","PDFTD-USTET","90664"
"2018-06-20","PDFTR-USTET","102321"
"2018-06-27","PDFTD-USTET","73337"
"2018-06-27","PDFTR-USTET","78013"
"2018-07-04","PDFTD-USTET","78252"
"2018-07-04","PDFTR-USTET","75451"
"2018-07-11","PDFTD-USTET","68567"
"2018-07-11","PDFTR-USTET","74493"
"2018-07-18","PDFTD-USTET","63246"
"2018-07-18","PDFTR-USTET","67100"
"2018-07-25","PDFTD-USTET","68589"
"2018-07-25","PDFTR-USTET","71687"
"2018-08-01","PDFTD-USTET","76846"
"2018-08-01","PDFTR-USTET","81172"
"2018-08-08","PDFTD-USTET","69443"
"2018-08-08","PDFTR-USTET","69394"
"2018-08-15","PDFTD-USTET","78657"
"2018-08-15","PDFTR-USTET","84633"
"2018-08-22","PDFTD-USTET","76583"
"2018-08-22","PDFTR-USTET","83721"
"2018-08-29","PDFTD-USTET","76100"
"2018-08-29","PDFTR-USTET","81842"
"2018-09-05","PDFTD-USTET","69452"
"2018-09-05","PDFTR-USTET","75660"
"2018-09-12","PDFTD-USTET","78015"
"2018-09-12","PDFTR-USTET","86981"
"2018-09-19","PDFTD-USTET","72924"
"2018-09-19","PDFTR-USTET","76598"
"2018-09-26","PDFTD-USTET","67495"
"2018-09-26","PDFTR-USTET","68270"
"2018-10-03","PDFTD-USTET","71873"
"2018-10-03","PDFTR-USTET","76024"
"2018-10-10","PDFTD-USTET","82917"
"2018-10-10","PDFTR-USTET","91434"
"2018-10-17","PDFTD-USTET","67844"
"2018-10-17","PDFTR-USTET","74746"
